| Series   |   Mass |   Trise |   kpush | EOS   |   EOS int |     xi175 |    xi200 |   Outcome |   M_rem |   M_collapse |   M_Fe |   M_CO |   M_He |    M_H |      E_exp | t_exp            | machine   | working_dir                                                                                              | target_dir                                                                                               |
| s        |   19   |     0.4 |  4.102  | DD2   |         0 |  0.698988 | 0.371386 |         0 | 1.58876 |       15.035 |  1.588 |  4.367 |  5.617 |  9.418 |  1.58083   | 0.42819908447849 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s19.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s19.0_trise400_k4.3                                           |
| s        |   19.2 |     0.4 |  4.09   | DD2   |         0 |  0.727612 | 0.373984 |         0 | 1.59592 |       15.086 |  1.489 |  4.436 |  5.676 |  9.41  |  1.54676   | 0.42833107985835 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s19.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s19.2_trise400_k4.3                                           |
| s        |   19.4 |     0.4 |  4.318  | DD2   |         0 |  0.534056 | 0.287919 |         0 | 1.49561 |       15.226 |  1.375 |  4.504 |  5.776 |  9.45  |  1.49738   | 0.43830287518276 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s19.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s19.4_trise400_k4.3                                           |
| s        |   19.6 |     0.4 |  4.047  | DD2   |         0 |  0.287181 | 0.168573 |         0 | 1.43298 |       13.368 |  1.466 |  4.872 |  6.139 |  7.23  |  0.970644  | 0.27215820046620 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s19.6_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s19.6_trise400_k4.3                                           |
| s        |   19.8 |     0.4 |  4.196  | DD2   |         0 |  0.325711 | 0.203025 |         0 | 1.41499 |       14.541 |  1.446 |  4.742 |  6.018 |  8.524 |  1.12887   | 0.34975170566250 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s19.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s19.8_trise400_k4.3                                           |
| s        |   20   |     0.4 |  4.1    | DD2   |         0 |  0.278113 | 0.179298 |         0 | 1.37056 |       14.733 |  1.458 |  4.863 |  6.116 |  8.617 |  1.00814   | 0.36769176072471 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s20.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s20.0_trise400_k4.3                                           |
| s        |   20.2 |     0.4 |  3.927  | DD2   |         0 |  0.233799 | 0.147209 |         0 | 1.40679 |       14.468 |  1.466 |  4.981 |  6.239 |  8.229 |  0.912634  | 0.25914047144137 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s20.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s20.2_trise400_k4.3                                           |
| s        |   20.4 |     0.4 |  4.31   | DD2   |         0 |  0.586536 | 0.297652 |         0 | 1.52225 |       14.81  |  1.508 |  5.033 |  6.27  |  8.54  |  1.28185   | 0.34841201118570 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s20.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s20.4_trise400_k4.3                                           |
| s        |   20.6 |     0.4 |  3.482  | DD2   |         0 |  0.935282 | 0.462657 |         0 | 1.63793 |       14.029 |  1.548 |  5.229 |  6.467 |  7.562 |  1.17953   | 0.41403087929062 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s20.6_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s20.6_trise400_k4.3                                           |
| s        |   20.8 |     0.4 |  3.725  | DD2   |         0 |  0.90241  | 0.433299 |         0 | 1.61577 |       14.345 |  1.537 |  5.255 |  6.497 |  7.848 |  1.19131   | 0.39198934629514 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s20.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s20.8_trise400_k4.3                                           |
| s        |   21   |     0.4 |  3.542  | DD2   |         0 |  0.736269 | 0.455874 |         0 | 1.62292 |       12.996 |  1.463 |  5.479 |  6.785 |  6.212 |  1.45462   | 0.46379013160097 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s21.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s21.0_trise400_k4.3                                           |
| s        |   21.2 |     0.4 |  4.031  | DD2   |         0 |  0.69658  | 0.385784 |         0 | 1.59274 |       13.554 |  1.485 |  5.459 |  6.765 |  6.789 |  1.51617   | 0.43598436630757 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s21.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s21.2_trise400_k4.3                                           |
| s        |   21.4 |     0.4 |  4.262  | DD2   |         0 |  0.471657 | 0.325529 |         0 | 1.47292 |       14.796 |  1.511 |  5.4   |  6.676 |  8.12  |  1.34827   | 0.41390465448714 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s21.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s21.4_trise400_k4.3                                           |
| s        |   21.6 |     0.4 |  4.322  | DD2   |         0 |  0.473154 | 0.280596 |         0 | 1.47211 |       13.625 |  1.46  |  5.633 |  6.915 |  6.71  |  1.20473   | 0.34541124548502 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s21.6_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s21.6_trise400_k4.3                                           |
| s        |   21.8 |     0.4 |  4.136  | DD2   |         0 |  0.687515 | 0.36375  |         0 | 1.58796 |       14.782 |  1.486 |  5.56  |  6.828 |  7.954 |  1.56027   | 0.43061380758823 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s21.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s21.8_trise400_k4.3                                           |
| s        |   22   |     0.4 |  4.299  | DD2   |         0 |  0.379029 | 0.244717 |         0 | 1.42481 |       14.417 |  1.442 |  5.649 |  6.95  |  7.467 |  1.12448   | 0.35363690023613 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s22.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s22.0_trise400_k4.3                                           |
| s        |   22.2 |     0.4 |  0      | DD2   |         0 |  1.24389  | 0.701496 |         2 | 6.097   |       13.217 |  1.614 |  5.955 |  7.203 |  6.014 | -0.112938  | nan              | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s22.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s22.2_trise400_k4.3                                           |
| s        |   22.4 |     0.4 |  4.285  | DD2   |         0 |  0.544686 | 0.314662 |         0 | 1.51016 |       14.762 |  1.489 |  5.793 |  7.066 |  7.696 |  1.22813   | 0.35227473801438 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s22.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s22.4_trise400_k4.3                                           |
| s        |   22.6 |     0.4 |  3.891  | DD2   |         0 |  0.872409 | 0.409591 |         0 | 1.60704 |       14.679 |  1.534 |  5.894 |  7.135 |  7.543 |  1.30123   | 0.38651898142555 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s22.6_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s22.6_trise400_k4.3                                           |
| s        |   22.8 |     0.4 |  0      | DD2   |         0 |  1.24757  | 0.730087 |         4 | 6.199   |       14.344 |  1.629 |  6.042 |  7.277 |  7.068 | -0.113733  | nan              | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s22.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s22.8_trise400_k4.3                                           |
| s        |   23   |     0.4 |  0      | DD2   |         0 |  1.44359  | 0.847012 |         4 | 6.506   |       12.998 |  1.615 |  6.338 |  7.577 |  5.421 | -0.119969  | nan              | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s23.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s23.0_trise400_k4.3                                           |
| s        |   23.2 |     0.4 |  0      | DD2   |         0 |  1.30968  | 0.759058 |         4 | 6.219   |       15.079 |  1.638 |  6.058 |  7.277 |  7.803 | -0.113875  | nan              | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s23.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s23.2_trise400_k4.3                                           |
| s        |   23.4 |     0.4 |  0      | DD2   |         0 |  1.43144  | 0.842452 |         4 | 6.486   |       13.889 |  1.6   |  6.331 |  7.569 |  6.32  | -0.120609  | nan              | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s23.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s23.4_trise400_k4.3                                           |
| s        |   23.6 |     0.4 |  0      | DD2   |         0 |  1.43161  | 0.839412 |         4 | 6.659   |       13.724 |  1.66  |  6.428 |  7.662 |  6.062 | -0.120919  | nan              | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s23.6_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s23.6_trise400_k4.3                                           |
| s        |   23.8 |     0.4 |  0      | DD2   |         0 |  1.44039  | 0.810855 |         4 | 6.575   |       14.797 |  1.65  |  6.365 |  7.595 |  7.201 | -0.119783  | nan              | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s23.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s23.8_trise400_k4.3                                           |
| s        |   24   |     0.4 |  0      | DD2   |         0 |  1.42892  | 0.836353 |         4 | 6.838   |       14.011 |  1.663 |  6.562 |  7.783 |  6.229 | -0.122222  | nan              | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s24.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s24.0_trise400_k4.3                                           |
| s        |   24.2 |     0.4 |  0      | DD2   |         0 |  1.48751  | 0.865246 |         4 | 6.89    |       13.896 |  1.652 |  6.636 |  7.852 |  6.044 | -0.124485  | nan              | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s24.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s24.2_trise400_k4.3                                           |
