EOS int,Mass,M_rem,Outcome Mass Cut
3,21.0,1.622,0
4,26.0,1.55756,0
3,17.0,1.39775,0
3,12.0,1.37468,0
3,28.0,1.49477,0
5,28.0,1.7185,0
5,33.0,1.67739,0
5,26.0,1.5583,0
3,16.0,1.39447,0
5,15.0,1.5377,0
4,29.0,1.50586,0
5,13.0,1.35724,0
3,16.0,1.36064,0
3,29.0,1.45013,0
4,33.0,1.67254,0
3,18.0,1.46152,0
3,12.0,1.33829,0
5,11.0,1.29184,0
3,38.0,1.49477,0
1,24.0,1.73103,0
1,17.0,1.36213,0
2,31.0,1.51837,0
2,24.0,1.74275,0
3,18.0,1.58788,0
3,29.0,1.49801,0
3,30.0,1.5431,0
3,28.0,1.53188,0
1,34.0,1.57591,0
1,35.0,1.49502,0
1,36.0,1.50911,0
1,37.0,1.58286,0
1,38.0,1.47615,0
1,39.0,1.80224,0
1,40.0,1.59899,0
1,12.0,1.31676,0
1,12.0,1.35486,0
1,19.0,1.42066,0
1,20.0,1.71318,0
1,25.0,1.61811,0
1,26.0,1.65233,0
1,27.0,1.64703,0
1,28.0,1.66669,0
1,30.0,1.70422,0
1,11.0,1.34516,0
2,31.0,1.41138,0
2,18.0,1.43456,0
2,21.0,1.58457,0
2,22.0,1.40739,0
2,21.0,1.36475,0
2,26.0,1.52697,0
2,13.0,1.42976,0
2,28.0,1.67499,0
2,32.0,1.48767,0
2,25.0,1.79619,0
2,24.0,1.74349,0
2,23.0,1.50108,0
2,20.0,1.6185,0
2,27.0,1.53791,0
2,19.0,1.43376,0
2,16.0,1.34698,0
2,29.0,1.49004,0
2,17.0,1.54259,0
2,19.0,1.55196,0
2,12.0,1.27524,0
2,20.0,1.42816,0
2,30.0,1.51994,0
2,12.0,1.35667,0
2,15.0,1.334,0
2,21.0,1.35506,0
2,29.0,1.42816,0
4,17.0,1.57879,0
4,19.0,1.45787,0
4,15.0,1.53792,0
5,15.0,1.51954,0
4,13.0,1.45787,0
3,11.0,1.35899,0
